3 A
e I
4 U
5 E
6 O
t KA
g KI
h KU
: KE
b KO
x SA
d SI
r SU
p SE
c SO
q TA
a TI
z TU
w TE
s TO
u NA
i NI
1 NU
, NE
k NO
f HA
v HI
2 HU
^ HE
- HO
j MA
n MI
] MU
/ ME
m MO
7 YA
8 YU
9 YO
o RA
l RI
. RU
; RE
\ RO
0 WA
  WO
y NN
